# x_u,y_u,z_u,pit_u,offset_m  # dedicated RIGHT-side pit CAD; TUMFTM ENU frame
6.5348,0.3962,-6.8082,0,0
6.8068,0.3987,-7.8494,0.0104,0.383
7.2446,0.4011,-8.8627,0.0208,1.439
7.8134,0.4035,-9.854,0.0313,3.026
8.4783,0.406,-10.8292,0.0417,5.003
9.2045,0.4084,-11.7942,0.0521,7.229
9.9571,0.4108,-12.7549,0.0625,9.562
10.7013,0.4132,-13.7169,0.0729,11.861
11.4023,0.4157,-14.6862,0.0833,13.985
12.0253,0.4181,-15.6685,0.0938,15.793
12.5354,0.4205,-16.6699,0.1042,17.143
12.8977,0.4229,-17.6961,0.1146,17.893
13.1013,0.4254,-18.7487,0.125,18
13.2785,0.4278,-19.8058,0.1354,18
13.4557,0.4302,-20.8629,0.1458,18
13.6329,0.4327,-21.9201,0.1563,18
13.8101,0.4351,-22.9772,0.1667,18
13.9873,0.4375,-24.0343,0.1771,18
14.1645,0.4399,-25.0914,0.1875,18
14.3417,0.4424,-26.1485,0.1979,18
14.5188,0.4448,-27.2056,0.2083,18
14.696,0.4472,-28.2627,0.2188,18
14.8732,0.4497,-29.3198,0.2292,18
15.0503,0.4521,-30.3768,0.2396,18
15.2275,0.4545,-31.4337,0.25,18
15.4047,0.4569,-32.4907,0.2604,18
15.5819,0.4593,-33.5478,0.2708,18
15.7591,0.4617,-34.6049,0.2813,18
15.9364,0.4641,-35.6618,0.2917,18
16.1136,0.4665,-36.7187,0.3021,18
16.2909,0.4689,-37.7757,0.3125,18
16.4682,0.4713,-38.8328,0.3229,18
16.6455,0.4738,-39.8897,0.3333,18
16.8228,0.4762,-40.9466,0.3438,18
17.0002,0.4786,-42.0034,0.3542,18
17.1777,0.481,-43.0604,0.3646,18
17.3551,0.4834,-44.1174,0.375,18
17.5325,0.4858,-45.1743,0.3854,18
17.71,0.4882,-46.2312,0.3958,18
17.8875,0.4905,-47.288,0.4063,18
18.0651,0.4929,-48.3451,0.4167,18
18.2426,0.4953,-49.4021,0.4271,18
18.4201,0.4976,-50.4589,0.4375,18
18.5978,0.5,-51.5157,0.4479,18
18.7754,0.5023,-52.5726,0.4583,18
18.9531,0.5047,-53.6296,0.4688,18
19.1307,0.5071,-54.6865,0.4792,18
19.3084,0.5094,-55.7433,0.4896,18
19.4861,0.5118,-56.8002,0.5,18
19.6639,0.5141,-57.8572,0.5104,18
19.8416,0.5165,-58.9141,0.5208,18
20.0193,0.5188,-59.971,0.5313,18
20.1971,0.5211,-61.0278,0.5417,18
20.3749,0.5234,-62.0847,0.5521,18
20.5528,0.5257,-63.1417,0.5625,18
20.7306,0.528,-64.1987,0.5729,18
20.9084,0.5303,-65.2555,0.5833,18
21.0863,0.5326,-66.3124,0.5938,18
21.2642,0.5349,-67.3693,0.6042,18
21.4421,0.5372,-68.4263,0.6146,18
21.62,0.5395,-69.4832,0.625,18
21.7979,0.5418,-70.5401,0.6354,18
21.9758,0.544,-71.5969,0.6458,18
22.1537,0.5463,-72.6539,0.6563,18
22.3317,0.5485,-73.7108,0.6667,18
22.5096,0.5508,-74.7677,0.6771,18
22.6876,0.553,-75.8246,0.6875,18
22.8656,0.5553,-76.8815,0.6979,18
23.0435,0.5575,-77.9385,0.7083,18
23.2215,0.5597,-78.9954,0.7188,18
23.3856,0.5619,-80.0547,0.7292,17.943
23.5154,0.5641,-81.1197,0.7396,17.748
23.6136,0.5663,-82.19,0.75,17.424
23.6828,0.5685,-83.2653,0.7604,16.983
23.7259,0.5707,-84.3449,0.7708,16.436
23.7454,0.5729,-85.4285,0.7813,15.793
23.7442,0.575,-86.5156,0.7917,15.066
23.7251,0.5772,-87.6057,0.8021,14.266
23.6907,0.5793,-88.6984,0.8125,13.405
23.6438,0.5814,-89.7932,0.8229,12.492
23.5872,0.5836,-90.8897,0.8333,11.54
23.5235,0.5857,-91.9873,0.8438,10.56
23.4556,0.5878,-93.0857,0.8542,9.562
23.3861,0.5899,-94.1843,0.8646,8.558
23.3178,0.5921,-95.2828,0.875,7.559
23.2535,0.5941,-96.3805,0.8854,6.576
23.1958,0.5962,-97.4772,0.8958,5.62
23.1476,0.5983,-98.5722,0.9063,4.702
23.1115,0.6004,-99.6652,0.9167,3.834
23.0904,0.6024,-100.7557,0.9271,3.026
23.0869,0.6045,-101.8432,0.9375,2.29
23.1038,0.6065,-102.9273,0.9479,1.637
23.1438,0.6085,-104.0075,0.9583,1.077
23.2097,0.6106,-105.0833,0.9688,0.623
23.3042,0.6126,-106.1543,0.9792,0.284
23.4301,0.6146,-107.22,0.9896,0.073
23.59,0.6166,-108.28,1,0
